word,frequency
Grass,10
scene:,10
reporting,10
unable,10
installed.,10
person,10
School,10
Ronan,10
years,10
waiting,10
Boston.,10
call,10
difficult,10
drive,10
Barrel,10
Mulitple,10
lights:,10
contact,10
More,10
pls,10
hot,10
Charlestown,10
foot,10
using,10
issues,10
shopping,10
BTD,10
huge,10
stopping,10
wall,10
dark,10
posted,10
At,10
Wednesday,10
"""legal"".",10
implement,10
laws,10
"Brookline,",10
"Cambridge,",10
"Lisbon,",10
Portugal!,10
YouTube,10
make.,10
Find,10
instagram,10
@missionhilllitter!,10
"

Walk",10
02115,10
ESPECIALLY,10
rats!,10
chew,10
"overpopulate.

Please",10
standards!,10
enclosed,10
(turn,10
lock),10
bins!,10
"sidewalk,",10
limb,10
ago.,9
unsafe,9
Splash,9
isn't,9
splash,9
church,9
rest,9
Beacon,9
sidewalks,9
Thanks!,9
Now,9
bad,9
Ave.,9
Also,9
crew,9
in.,9
"property,",9
leaning,9
property],9
needed,9
mess,9
Fire,9
Right,9
basement,9
There's,9
TOW,9
Someone,9
four,9
Tremont,9
NOT,9
[Concrete],9
approximate,9
needed.,9
having,9
point,9
find,9
Lots,9
windows,9
away,9
[Sign],9
cracked,9
site,9
now.,9
problem,9
sinking,9
tree.,9
attention,9
st.,9
20,9
cones,9
squirrel,9
makes,9
issue.,9
pole.,9
hydrant.,9
Truck,9
money,9
related,9
waste:,9
details:,9
[Street,9
apartment,9
needles,9
south,9
14,9
Expired,9
Huge,9
Glass,9
cut.,9
"'Other',",9
homeless,9
month,9
Traffic,9
longer,9
happens,9
sitting,9
permit.,9
[No,9
directly,9
Are,9
feet,9
anyone,9
prune,9
night.,9
playground.,9
west,9
basket,9
General],9
Park.,9
basketball,9
[front],9
told,8
added,8
entering,8
IS,8
limbs,8
against,8
main,8
Need,8
waste.,8
Lot,8
believe,8
even,8
single,8
streets,8
trim,8
company,8
concerned,8
advise,8
section,8
care,8
closing,8
asphalt,8
hours.,8
Very,8
[Branch],8
owners,8
cause,8
material,8
driving,8
emptied,8
Convert,8
"overhead,",8
heavy,8
Needs,8
control,8
posts,8
second,8
[One],8
order,8
possible,8
putting,8
grown,8
yesterday.,8
removal,8
stuck,8
nearby,8
houses,8
spaces,8
sign.,8
us,8
drivers,8
surrounding,8
stop.,8
[Alley],8
overnight,8
Many,8
E,8
sweeper,8
stickers.,8
hasn't,8
Kids,8
replaced,8
conditions,8
trailer,8
nothing,8
flat,8
[NISSAN],8
damage,8
bridge,8
walkway,8
material:,8
Notified,8
Toyota,8
constant,8
All,8
I've,8
People,8
mass,8
per,8
[06/29/2022],8
turning,8
Sunday,8
bricks,8
Square,8
year.,8
cross,8
And,8
before:,8
low,8
Homeless,8
gallon],8
marking:,8
want,8
each,8
MVA,8
pm,8
Thursday,8
Loose,7
opened,7
draining,7
might,7
FROM,7
FOR,7
Same,7
Jeep,7
visitor,7
Zone,7
Brighton,7
deterioration],7
specify,7
enter,7
Common,7
Code,7
snow,7
dirty,7
paper,7
